"Domain","SettingName","Class","Key","ValueName","ValueType","ChildKey","ChildValue","Category","SupportedOn","AdmxFile"
"Local","ForcedLocalMassDeleteDetection","Machine","SOFTWARE\Policies\Microsoft\OneDrive","ForcedLocalMassDeleteDetection","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","BlockExternalSync","Machine","SOFTWARE\Policies\Microsoft\OneDrive","BlockExternalSync","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","PermitDisablePermissionInheritance","Machine","SOFTWARE\Policies\Microsoft\OneDrive","PermitDisablePermissionInheritance","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","EnableAutomaticUploadBandwidthManagement","Machine","SOFTWARE\Policies\Microsoft\OneDrive","EnableAutomaticUploadBandwidthManagement","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","OneDriveNGSC","windows:SUPPORTED_Windows_10_0_RS3","OneDrive.admx"
"Local","MinDiskSpaceLimitInMB","Machine","SOFTWARE\Policies\Microsoft\OneDrive","MinDiskSpaceLimitInMB","Number","","MinDiskSpaceLimitInMB","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","WarningMinDiskSpaceLimitInMB","Machine","SOFTWARE\Policies\Microsoft\OneDrive","WarningMinDiskSpaceLimitInMB","Number","","WarningMinDiskSpaceLimitInMB","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","DisableFirstDeleteDialog","Machine","SOFTWARE\Policies\Microsoft\OneDrive","DisableFirstDeleteDialog","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","LocalMassDeleteFileDeleteThreshold","Machine","SOFTWARE\Policies\Microsoft\OneDrive","LocalMassDeleteFileDeleteThreshold","Number","","LocalMassDeleteFileDeleteThreshold","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","EnableODIgnoreListFromGPO","Machine","SOFTWARE\Policies\Microsoft\OneDrive","EnableODIgnoreListFromGPO","List","Software\Policies\Microsoft\OneDrive\EnableODIgnoreListFromGPO","EnableODIgnoreListFromGPOListBox","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","IgnoreWebProxy","Machine","SOFTWARE\Policies\Microsoft\OneDrive","IgnoreWebProxy","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","EnableSyncAdminReports","Machine","SOFTWARE\Policies\Microsoft\OneDrive","EnableSyncAdminReports","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","OneDriveNGSC","windows:SUPPORTED_Windows_10_0_RS3","OneDrive.admx"
"Local","EnableFeedbackAndSupport","Machine","SOFTWARE\Policies\Microsoft\OneDrive","EnableFeedbackAndSupport","Checkbox",,"GranularFeedbackControl_SendFeedback_Checkbox","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","EnableFeedbackAndSupport","Machine","SOFTWARE\Policies\Microsoft\OneDrive","EnableFeedbackAndSupport","Checkbox",,"GranularFeedbackControl_ReceiveSurveys_Checkbox","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","EnableFeedbackAndSupport","Machine","SOFTWARE\Policies\Microsoft\OneDrive","EnableFeedbackAndSupport","Checkbox",,"GranularFeedbackControl_ContactSupport_Checkbox","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","EnableFeedbackAndSupport","Machine","SOFTWARE\Policies\Microsoft\OneDrive","EnableFeedbackAndSupport","Checkbox",,"GranularFeedbackControl_SendFeedback_Checkbox","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","EnableFeedbackAndSupport","Machine","SOFTWARE\Policies\Microsoft\OneDrive","EnableFeedbackAndSupport","Checkbox",,"GranularFeedbackControl_ReceiveSurveys_Checkbox","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","EnableFeedbackAndSupport","Machine","SOFTWARE\Policies\Microsoft\OneDrive","EnableFeedbackAndSupport","Checkbox",,"GranularFeedbackControl_ContactSupport_Checkbox","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","EnableFeedbackAndSupport","Machine","SOFTWARE\Policies\Microsoft\OneDrive","EnableFeedbackAndSupport","Checkbox",,"GranularFeedbackControl_SendFeedback_Checkbox","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","EnableFeedbackAndSupport","Machine","SOFTWARE\Policies\Microsoft\OneDrive","EnableFeedbackAndSupport","Checkbox",,"GranularFeedbackControl_ReceiveSurveys_Checkbox","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","EnableFeedbackAndSupport","Machine","SOFTWARE\Policies\Microsoft\OneDrive","EnableFeedbackAndSupport","Checkbox",,"GranularFeedbackControl_ContactSupport_Checkbox","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","DisableListSync","Machine","SOFTWARE\Policies\Microsoft\OneDrive","DisableNucleusSync","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","NucleusListSync","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","BlockExternalListSync","Machine","SOFTWARE\Policies\Microsoft\OneDrive","BlockExternalListSync","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","NucleusListSync","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","DisableListSyncSilentConfig","Machine","SOFTWARE\Policies\Microsoft\OneDrive","DisableNucleusSilentConfig","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","NucleusListSync","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","DisableOfflineMode","Machine","SOFTWARE\Policies\Microsoft\OneDrive","DisableOfflineMode","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","DisableOfflineModeForExternalLibraries","Machine","SOFTWARE\Policies\Microsoft\OneDrive","DisableOfflineModeForExternalLibraries","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","OneDriveNGSC","windows:SUPPORTED_Windows7","OneDrive.admx"
"Local","DisableAutoConfig","Machine","SOFTWARE\Policies\Microsoft\OneDrive","DisableAutoConfig","Number","","DisableAutoConfig","OneDriveNGSC","windows:SUPPORTED_Windows_10_0_RS3","OneDrive.admx"
"Local","DisableNewAccountDetection","Machine","SOFTWARE\Policies\Microsoft\OneDrive","DisableNewAccountDetection","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","OneDriveNGSC","windows:SUPPORTED_Windows_10_0_RS3","OneDrive.admx"
"Local","AddedFolderHardDeleteOnUnmount","Machine","SOFTWARE\Policies\Microsoft\OneDrive","AddedFolderHardDeleteOnUnmount","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","OneDriveNGSC","windows:SUPPORTED_Windows_10_0_TH1","OneDrive.admx"
"Local","AddedFolderUnmountOnPermissionsLoss","Machine","SOFTWARE\Policies\Microsoft\OneDrive","AddedFolderUnmountOnPermissionsLoss","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","OneDriveNGSC","windows:SUPPORTED_Windows_10_0_TH1","OneDrive.admx"
"Local","SharedContentDeleteConfirmation","Machine","SOFTWARE\Policies\Microsoft\OneDrive","SharedContentDeleteConfirmation","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","OneDriveNGSC","windows:SUPPORTED_Windows_10_0_TH1","OneDrive.admx"
