"GroupPolicyName","GroupPolicyKey","GroupPolicyValueName","IntuneDisplayName","IntuneName","IntuneKeywords","IntuneRootDefinitionId","IntuneOffsetURI","IntuneInfoUrls","IntuneMinimumSupportedVersion","IntuneWindowsSkus"
"LocalMassDeleteFileDeleteThreshold","SOFTWARE\Policies\Microsoft\OneDrive","LocalMassDeleteFileDeleteThreshold","Prompt users when they delete multiple OneDrive files on their local computer","LocalMassDeleteFileDeleteThreshold","LocalMassDeleteFileDeleteThreshold; Prompt users when they delete multiple OneDrive files on their local computer; \OneDrive; OneDrive; One Drive","device_vendor_msft_policy_config_onedrivengscv3~policy~onedrivengsc_localmassdeletefiledeletethreshold","/Config/OneDriveNGSCv3~Policy~OneDriveNGSC/LocalMassDeleteFileDeleteThreshold","",,""
"EnableODIgnoreListFromGPO","SOFTWARE\Policies\Microsoft\OneDrive","EnableODIgnoreListFromGPO","Exclude specific kinds of files from being uploaded","EnableODIgnoreListFromGPO","EnableODIgnoreListFromGPO; Exclude specific kinds of files from being uploaded; \OneDrive; OneDrive; One Drive","device_vendor_msft_policy_config_onedrivengscv4~policy~onedrivengsc_enableodignorelistfromgpo","/Config/OneDriveNGSCv4~Policy~OneDriveNGSC/EnableODIgnoreListFromGPO","",,""
"IgnoreWebProxy","SOFTWARE\Policies\Microsoft\OneDrive","IgnoreWebProxy","Cause sync client to ignore normal web proxy detection logic","IgnoreWebProxy","IgnoreWebProxy; Cause sync client to ignore normal web proxy detection logic; \OneDrive; OneDrive; One Drive","device_vendor_msft_policy_config_onedrivengscv4~policy~onedrivengsc_ignorewebproxy","/Config/OneDriveNGSCv4~Policy~OneDriveNGSC/IgnoreWebProxy","",,""
"EnableSyncAdminReports","SOFTWARE\Policies\Microsoft\OneDrive","EnableSyncAdminReports","Enable sync health reporting for OneDrive","EnableSyncAdminReports","EnableSyncAdminReports; Enable sync health reporting for OneDrive; \OneDrive; OneDrive","device_vendor_msft_policy_config_onedrivengscv6~policy~onedrivengsc_enablesyncadminreports","/Config/OneDriveNGSCv6~Policy~OneDriveNGSC/EnableSyncAdminReports","",,""
"EnableFeedbackAndSupport","SOFTWARE\Policies\Microsoft\OneDrive","EnableFeedbackAndSupport","Allow users to contact Microsoft for feedback and support","EnableFeedbackAndSupport","EnableFeedbackAndSupport;  Allow users to contact Microsoft for feedback and support; \OneDrive; OneDrive","device_vendor_msft_policy_config_onedrivengscv6~policy~onedrivengsc_enablefeedbackandsupport","/Config/OneDriveNGSCv6~Policy~OneDriveNGSC/EnableFeedbackAndSupport","",,""
"EnableFeedbackAndSupport","SOFTWARE\Policies\Microsoft\OneDrive","EnableFeedbackAndSupport","Allow users to contact Microsoft for feedback and support","EnableFeedbackAndSupport","EnableFeedbackAndSupport;  Allow users to contact Microsoft for feedback and support; \OneDrive; OneDrive","device_vendor_msft_policy_config_onedrivengscv6~policy~onedrivengsc_enablefeedbackandsupport","/Config/OneDriveNGSCv6~Policy~OneDriveNGSC/EnableFeedbackAndSupport","",,""
"EnableFeedbackAndSupport","SOFTWARE\Policies\Microsoft\OneDrive","EnableFeedbackAndSupport","Allow users to contact Microsoft for feedback and support","EnableFeedbackAndSupport","EnableFeedbackAndSupport;  Allow users to contact Microsoft for feedback and support; \OneDrive; OneDrive","device_vendor_msft_policy_config_onedrivengscv6~policy~onedrivengsc_enablefeedbackandsupport","/Config/OneDriveNGSCv6~Policy~OneDriveNGSC/EnableFeedbackAndSupport","",,""
"AddedFolderHardDeleteOnUnmount","SOFTWARE\Policies\Microsoft\OneDrive","AddedFolderHardDeleteOnUnmount","","","","","","","",""
"DisableNewAccountDetection","SOFTWARE\Policies\Microsoft\OneDrive","DisableNewAccountDetection","Disable a toast and activity center message to encourage a user to sign in OneDrive using an existing credential that is made available to Microsoft applications","DisableNewAccountDetection","DisableNewAccountDetection; Disable a toast and activity center message to encourage a user to sign in OneDrive using an existing credential that is made available to Microsoft applications; \OneDrive; OneDrive","device_vendor_msft_policy_config_onedrivengscv7~policy~onedrivengsc_disablenewaccountdetection","/Config/OneDriveNGSCv7~Policy~OneDriveNGSC/DisableNewAccountDetection","",,""
"DisableAutoConfig","SOFTWARE\Policies\Microsoft\OneDrive","DisableAutoConfig","Disable silently sign in users to the OneDrive sync app with an existing credential that is made available to Microsoft applications","DisableAutoConfig","DisableAutoConfig; Disable silently sign in users to the OneDrive sync app with an existing credential that is made available to Microsoft applications; \OneDrive; OneDrive","device_vendor_msft_policy_config_onedrivengscv6~policy~onedrivengsc_disableautoconfig","/Config/OneDriveNGSCv6~Policy~OneDriveNGSC/DisableAutoConfig","",,""
